year_month,total_station_days,salinity_observed_days,s2_available_days,salinity_mean,salinity_std,salinity_max,precipitation_mean_mm,precipitation_sum_mm_station_days,potential_evaporation_mean_mm,salinity_observed_pct,s2_available_pct
2020-01,682,300,682,11.252333333333333,7.2307982061375355,28.6,0.1432210092464411,97.67672830607283,9.463877403523027,43.99,100.0
2020-02,638,329,638,13.865045592705169,7.97186134129704,29.5,0.18173203391974727,115.94503764079876,11.126585987357526,51.57,100.0
2020-03,682,330,682,13.455757575757575,7.753836987334607,28.9,0.18963340158709782,129.32997988240072,10.63650577199011,48.39,100.0
2020-04,660,315,660,14.094920634920634,7.739577308899545,29.2,1.8587592466959495,1226.7811028193266,10.6730900232479,47.73,100.0
2020-05,682,316,682,11.41139240506329,6.733554684561038,27.0,3.3446066167381208,2281.0217126153984,9.415462617420202,46.33,100.0
2020-06,660,317,660,6.544479495268138,5.224662438104641,21.9,10.783663499337084,7117.217909562476,6.082882107567471,48.03,100.0
2020-07,682,0,682,,,,8.474888618314056,5779.874037690186,6.312736653265459,0.0,100.0
2020-08,682,0,682,,,,8.118465495013092,5536.793467598929,6.7818217379969035,0.0,100.0
2020-09,660,0,660,,,,9.71010706419954,6408.670662371696,6.228731734371148,0.0,100.0
2020-10,682,0,682,,,,12.135243770580674,8276.23625153602,4.641067751649247,0.0,100.0
2020-11,660,0,660,,,,4.603180484827035,3038.0991199858427,6.4323573180903875,0.0,100.0
2020-12,682,0,682,,,,3.3031525602809606,2252.750046111615,6.2749991368923155,0.0,100.0
2021-01,682,574,682,6.798432055749129,6.261774749796618,24.4,0.36265574730622263,247.33121966284384,7.34504086607319,84.16,100.0
2021-02,616,520,616,8.5425,6.618606741778223,25.4,0.3113533529207236,191.79366539916572,8.829628488410561,84.42,100.0
2021-03,682,580,682,10.866551724137931,7.629219702577997,30.0,0.2155022419089148,146.9725289818799,10.762147912283696,85.04,100.0
2021-04,660,557,660,8.757271095152603,6.82452505160413,26.4,4.894316440504032,3230.248850732661,8.663069486567878,84.39,100.0
2021-05,682,566,682,4.773321554770318,5.1309208674220415,20.6,6.5366682707558645,4458.0077606555,7.216493544050264,82.99,100.0
2021-06,660,0,660,,,,4.775087362410635,3151.557659191019,7.493618113771281,0.0,100.0
2021-07,682,0,682,,,,8.396315768038766,5726.287353802439,6.597701750488748,0.0,100.0
2021-08,682,0,682,,,,8.309918802677617,5667.364623426135,6.959124290407999,0.0,100.0
2021-09,660,0,660,,,,10.900383896721062,7194.253371835901,5.6457935694136765,0.0,100.0
2021-10,682,0,682,,,,13.09143451110146,8928.358336571195,5.132198917475512,0.0,100.0
2021-11,660,0,660,,,,12.843403192402016,8476.64610698533,4.965439629487003,0.0,100.0
2021-12,682,0,682,,,,0.8517193676867449,580.8726087623601,6.983936445951058,0.0,100.0
2022-01,682,519,682,5.4803660886319845,5.764685800229958,23.8,0.24070717098746391,164.16229061345038,8.554970076027033,76.1,100.0
2022-02,616,520,616,8.760576923076924,7.144633221300014,29.5,0.8209656685616121,505.71485183395305,10.085965219491706,84.42,100.0
2022-03,682,568,682,7.391830985915494,6.591686241454108,27.8,2.839125143670579,1936.2833479833348,9.141744495129771,83.28,100.0
2022-04,660,550,660,4.869818181818182,5.318976403886075,23.5,4.609732009149426,3042.4231260386214,8.070136172156378,83.33,100.0
2022-05,682,485,682,2.6037113402061856,3.4391863465681434,17.4,10.077916496124255,6873.139050356742,6.0729802824757275,71.11,100.0
2022-06,660,0,660,,,,8.293634251863415,5473.798606229853,7.205250278157267,0.0,100.0
2022-07,682,0,682,,,,8.72151843746323,5948.075574349923,6.003343315295314,0.0,100.0
2022-08,682,0,682,,,,7.65017543981157,5217.419649951491,6.5477367048858355,0.0,100.0
2022-09,660,0,660,,,,10.63405871003408,7018.478748622493,5.930408235413126,0.0,100.0
2022-10,682,0,682,,,,9.925422728691247,6769.138300967431,5.165513313569326,0.0,100.0
2022-11,660,0,660,,,,9.261870010741708,6112.834207089527,5.302385891020212,0.0,100.0
2022-12,682,0,682,,,,1.7438848762222916,1189.329485583603,6.607676337327794,0.0,100.0
2023-01,682,568,682,4.958732394366197,5.639826802493436,24.2,3.0415890167247044,2074.3637094062483,6.182335461995767,83.28,100.0
2023-02,616,520,616,7.565384615384615,6.741413853050841,26.0,0.7792338357831763,480.0080428424366,9.166377323624769,84.42,100.0
2023-03,682,568,682,8.064788732394366,6.878232384217717,27.3,0.056723751559226564,38.68559856339252,10.665039051437043,83.28,100.0
2023-04,660,552,660,7.243840579710144,6.285803302220996,23.2,1.92670205706638,1271.6233576638108,9.650264067869633,83.64,100.0
2023-05,682,566,682,6.942226148409894,6.137181157307964,24.8,6.697371300588706,4567.607227001497,8.247991538175302,82.99,100.0
