station_id,total_days,salinity_observed_days,salinity_short_gap_filled_days,salinity_input_available_days,s2_available_days,era5_proxy_station
AN_THUAN,1247,264,276,540,1247,
BEN_LUC,1247,543,95,638,1247,
BEN_TRAI,1247,265,279,544,1247,
BINH_DAI,1247,262,277,539,1247,
CAU_NOI,1247,542,96,638,1247,
CAU_QUAN,1247,543,94,637,1247,
DAI_NGAI,1247,543,94,637,1247,
GO_QUAO,1247,521,99,620,1247,
HOA_BINH,1247,542,96,638,1247,
HUNG_MY,1247,543,95,638,1247,
HUONG_MY,1247,264,276,540,1247,
LOC_THUAN,1247,263,277,540,1247,
MY_HOA,1247,458,39,497,1247,
SON_DOC,1247,265,279,544,1247,
TAN_AN,1247,543,95,638,1247,
TRAN_DE,1247,543,94,637,1247,
TRA_KHA,1247,543,94,637,1247,
TRA_VINH,1247,543,95,638,1247,
TUYEN_NHON,1247,528,80,608,1247,
VAM_KENH,1247,541,97,638,1247,
XEO_RO,1247,518,93,611,1247,
XUAN_KHANH,1247,543,95,638,1247,
