system:index,B11_median_week,B12_median_week,BGRratio_median_week,DEM_first,Distance_to_River_first,MNDWI_median_week,NDCI_median_week,NDVI_median_week,NDWI_median_week,Red_SWIR1_median_week,Red_SWIR2_median_week,grid_id,lat_first,lon_first,period_end,period_start,potential_evaporation_mm_sum,precipitation_mm_sum,runoff_mm_max,runoff_mm_sum,s2_available,s2_obs_count,soil_moisture_layer1_vol_mean,solar_radiation_mj_m2_sum,surface_pressure_hpa_min,temperature_2m_c_mean,x,y,.geo
42,0.006399999838322401,0.00559999980032444,1.5615172028407835,0,500.0,0.8782028765402926,0.20350959066703067,-0.5396453398215548,0.5011368786111333,17.137947906114775,19.58578856922307,g_105_195,8.797765858288594,105.20459274161078,2023-04-01,2023-03-01,430.6691735982895,2.5647335641352242,0.3118067979812622,7.097825407981873,1,1,0.26880217111238863,747.3204791289063,1008.5778059895833,26.71294289045437,104.5,194.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.20459274161078,8.797765858288594]}"
49,0.038600001484155655,0.02759999968111515,1.9667388827714114,4,500.0,0.39921867576841724,0.05397701394725496,-0.16774539534913485,0.19786679318764636,2.1454459888307973,2.938299406948679,g_100_196,8.843046632135355,104.97726465766254,2023-04-01,2023-03-01,282.3188304901123,2.6739739768473214,0.3747493028640747,8.828461170196533,1,5,0.14929014636624244,737.5836311289063,1008.4153059895833,27.04854436894891,99.5,195.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.97726465766254,8.843046632135355]}"
65,0.044449999928474426,0.04125000163912773,2.0500804964232984,1,500.0,0.36445219214072044,0.009548659753787141,-0.09732015942459707,0.11563279971754717,1.9262907596018204,2.1973951905495177,g_105_197,8.888216945842803,105.20464266823511,2023-04-01,2023-03-01,315.32735377550125,3.086870252367646,0.3443211317062378,7.818207144737244,1,4,0.2568690187187605,742.1760811289063,1008.34697265625,26.886794641966446,104.5,196.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.20464266823511,8.888216945842803]}"
73,0.05260000005364418,0.040550000965595245,1.7903044531603403,-1,500.0,0.2597863724613689,0.15352435727050073,-0.0348246488070703,0.05767516792310451,1.6217138525364483,1.9441522352073948,g_101_198,8.933498074383019,105.02274091930678,2023-04-01,2023-03-01,319.61987167596817,3.3529751889673776,0.37297606468200684,8.447840809822083,1,6,0.2652902500603788,731.7188091289063,1008.54697265625,27.229568079466446,100.5,197.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.02274091930678,8.933498074383019]}"
87,0.08924999833106995,0.08534999936819077,1.9245037460850618,0,0.0,0.0921691432557278,0.12084211227888206,-0.03663828283264523,0.10577364469311218,1.055675847125113,1.3182225933769862,g_103_199,8.978706820068824,105.11371857580883,2023-04-01,2023-03-01,315.6960904598236,4.026120244738252,0.3657042980194092,8.37637484073639,1,6,0.274355960148637,727.5148791289063,1008.5015559895833,27.234886669856223,102.5,198.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.11371857580883,8.978706820068824]}"
134,0.028300000354647636,0.0215000007301569,1.7828771574561362,10,500.0,0.5078216659047761,0.10484469794384244,-0.28973742264942187,0.3375359016863544,2.9331828372875455,2.9034059027488883,g_109_202,9.114194811684111,105.38678523909556,2023-04-01,2023-03-01,299.0681678056717,2.471556603190095,0.342831015586853,8.01202654838562,1,3,0.251456783663842,731.5789551289063,1008.52447265625,26.885329798216503,108.5,201.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.38678523909556,9.114194811684111]}"
149,0.05044999718666077,0.03700000047683716,1.8940468714607614,1,500.0,0.3530918777861524,0.1319154530323903,-0.25445582807240014,0.30856610330298645,1.859960062297123,2.561268050391491,g_107_203,9.159504661989656,105.29581521617438,2023-04-01,2023-03-01,314.0210509300232,3.6792659156290597,0.4287511110305786,10.316833853721619,1,2,0.1469743790165071,718.0678911289062,1008.4286393229168,27.185297246133132,106.5,202.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.29581521617438,9.159504661989656]}"
196,0.12939999997615814,0.10509999841451645,1.9541772061199307,3,500.0,0.037685178135772684,0.0777472283375687,-0.06528067976844655,0.11111471333371224,0.9638225677779975,1.1887703435765968,g_114_205,9.249549060950207,105.61453227122024,2023-04-01,2023-03-01,303.12223732471466,1.3899111144510812,0.3995746374130249,9.58336889743805,1,4,0.109524162866736,729.7353091289062,1008.69947265625,26.629257784607546,113.5,204.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.61453227122024,9.249549060950207]}"
259,0.026000000536441803,0.02019999921321869,2.0025483693255515,2,0.0,0.5273073840344773,0.04576009602243672,-0.11165504030984998,0.18924758604900696,2.9883464069818753,3.846344068660446,g_97_208,9.38571342821716,104.84061236659085,2023-04-01,2023-03-01,,,,,1,5,,0.0,,,96.5,207.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.84061236659085,9.38571342821716]}"
295,0.034699998795986176,0.029600000008940697,1.5809914724835066,2,0.0,0.03716153422095186,0.2178730218564612,-0.12564325925815026,0.12460961120712935,1.147328109577352,1.4216772517786456,g_103_209,9.43095535454323,105.11386317783519,2023-04-01,2023-03-01,310.7433244585991,7.606303035494477,0.532105565071106,11.997714638710022,1,3,0.15179357221049644,696.3234471289062,1008.4136393229168,27.65687980241671,102.5,208.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.11386317783519,9.43095535454323]}"
301,0.06300000101327896,0.05260000005364418,1.9392688827925617,2,0.0,0.035798333941085426,0.07367104556923962,-0.25104873632471864,0.23136313722065607,1.0890822031393774,1.2068350412026536,g_109_209,9.430760966484746,105.38713202435453,2023-04-01,2023-03-01,312.5094920396805,2.9756032817331857,0.3093630075454712,6.8170130252838135,1,4,0.2575721945813907,704.7415091289063,1008.4536393229167,27.484912921536306,108.5,208.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.38713202435453,9.430760966484746]}"
302,0.04560000076889992,0.04255000129342079,1.5912144398149177,3,0.0,0.12534763706542276,0.2026338395476389,-0.290876866691667,0.23878157458520352,1.4477942041882919,1.5484584483342319,g_110_209,9.43070795272066,105.4326761209417,2023-04-01,2023-03-01,312.5094920396805,2.9756032817331857,0.3093630075454712,6.8170130252838135,1,2,0.2575721945813907,704.7415091289063,1008.4536393229167,27.484912921536306,109.5,208.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.4326761209417,9.43070795272066]}"
316,0.07134999334812164,0.05494999885559082,1.7843750387168356,6,500.0,0.2545326682606788,0.15970054114239116,-0.1717107984039932,0.18309248071398468,1.6031312393999446,2.2568451427614473,g_124_209,9.429347436358446,106.07025028707601,2023-04-01,2023-03-01,308.1384226679802,1.2683325402704781,0.33129751682281494,7.744878530502319,1,6,0.23033753261771256,752.1981911289063,1008.8178059895832,26.476591138942297,123.5,208.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.07025028707601,9.429347436358446]}"
328,0.018449999392032623,0.017149999737739563,2.138469702227273,4,0.0,0.4793910191375366,0.08698923896889467,-0.6662091044269194,0.7166685058241212,2.5261308076823443,2.4431340241798214,g_106_210,9.47610854693721,105.25053104690117,2023-04-01,2023-03-01,310.7202649116516,5.122994720217378,0.3049522638320923,6.585791707038879,1,2,0.26444246435678137,698.8750611289063,1008.3211393229167,27.6539921176049,105.5,209.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.25053104690117,9.47610854693721]}"
383,0.04600000008940697,0.03319999948143959,2.1056337553299445,1,0.0,0.23952381964807196,0.01951589027496524,-0.038251020716645136,0.08437007744068827,1.41953441375652,1.9668083098138593,g_98_212,9.566627678740765,104.88609199404293,2023-04-01,2023-03-01,291.88264161348343,8.454715549227387,0.5009472370147705,10.677754878997803,1,3,0.07220875319614205,692.8999771289062,1008.53572265625,27.774993986724553,97.5,211.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.88609199404293,9.566627678740765]}"
