split,model,n_train,n_test,n_holdout_stations,holdout_stations,n,r2_log,rmse_gl,mae_gl,bias_gl
fold_1,ridge,248,63,7,"ANTHUAN,GIONGTROM,LANGTHE,MYHOA,THOIBINH,TRAVINH,TUYENNHON",63,0.33190349569888977,8.366063335164272,3.8721158039805355,-2.535719759294361
fold_1,idw,248,63,7,"ANTHUAN,GIONGTROM,LANGTHE,MYHOA,THOIBINH,TRAVINH,TUYENNHON",62,0.39268961164405625,5.403962505101435,3.08490794282087,-0.40773148272990967
fold_1,ridge_residual_idw,248,63,7,"ANTHUAN,GIONGTROM,LANGTHE,MYHOA,THOIBINH,TRAVINH,TUYENNHON",63,-0.005927395422596682,8.619086800171427,3.724568797322693,-2.8547893293808193
fold_2,ridge,249,62,6,"ANDINH,ANLACTAY,CAIHOP,KHANHTHANHTAN,TANAN,TRANDE",62,0.5887038382807985,4.182972819330055,3.1941920180067647,-0.8588057980424184
fold_2,idw,249,62,6,"ANDINH,ANLACTAY,CAIHOP,KHANHTHANHTAN,TANAN,TRANDE",62,0.3618121467422082,5.440104945172568,4.476535275798904,-0.7157457168657092
fold_2,ridge_residual_idw,249,62,6,"ANDINH,ANLACTAY,CAIHOP,KHANHTHANHTAN,TANAN,TRANDE",62,0.6198442239248976,3.944570004535923,3.1329249747208823,-0.5106456416884212
fold_3,ridge,249,62,5,"HOABINH,HUNGMY,LONGPHU,THANHPHU,TRAKHA",62,0.5904378609497423,3.4238602301183123,2.5872718359102667,-0.8982927295848393
fold_3,idw,249,62,5,"HOABINH,HUNGMY,LONGPHU,THANHPHU,TRAKHA",62,0.41549044603354957,3.520687854388476,3.041093466665633,-1.2279804392850877
fold_3,ridge_residual_idw,249,62,5,"HOABINH,HUNGMY,LONGPHU,THANHPHU,TRAKHA",62,0.48420778607558057,2.9586993415056697,2.0473758431504314,-0.9474011042918539
fold_4,ridge,249,62,5,"BENTRAI,CAUNOI,DAINGAI,GOQUAO,SOCTRANG",62,-0.060360855967918514,5.705094410107272,4.631708588470849,-0.5369302325188777
fold_4,idw,249,62,5,"BENTRAI,CAUNOI,DAINGAI,GOQUAO,SOCTRANG",62,-0.6091989157790478,6.080268178808612,5.055048121257773,-0.038476965374296526
fold_4,ridge_residual_idw,249,62,5,"BENTRAI,CAUNOI,DAINGAI,GOQUAO,SOCTRANG",62,-0.03402526230409264,5.491917871906045,4.6045362251820015,0.10497037484438641
fold_5,ridge,249,62,7,"ANNINH,BENLUC,CAUQUAN,HUONGMY,LOCTHUAN,XEORO,XUANKHANH",62,0.5356760512540655,8.321983635477578,3.378678551891556,0.6998927090620846
fold_5,idw,249,62,7,"ANNINH,BENLUC,CAUQUAN,HUONGMY,LOCTHUAN,XEORO,XUANKHANH",62,0.7192732504088246,2.7045634739766484,1.6693280479994126,-0.18637807101073983
fold_5,ridge_residual_idw,249,62,7,"ANNINH,BENLUC,CAUQUAN,HUONGMY,LOCTHUAN,XEORO,XUANKHANH",62,0.4427481471318384,8.118776169387052,3.198131011533994,0.0414475997673851
