split,model,n_train,n_test,n_holdout_stations,holdout_stations,n,r2_log,rmse_gl,mae_gl,bias_gl
fold_1,ridge,148,15,7,"ANTHUAN,GIONGTROM,LANGTHE,MYHOA,THOIBINH,TRAVINH,TUYENNHON",15,0.1701838505740988,1.6148823764010105,1.5220168103364287,1.313604594138241
fold_1,idw,148,15,7,"ANTHUAN,GIONGTROM,LANGTHE,MYHOA,THOIBINH,TRAVINH,TUYENNHON",15,-0.32416926920999867,1.6796486672424074,1.224515245613586,1.2107784691986831
fold_1,ridge_residual_idw,148,15,7,"ANTHUAN,GIONGTROM,LANGTHE,MYHOA,THOIBINH,TRAVINH,TUYENNHON",15,0.8731078497363675,0.4704511867520985,0.3915323255642314,0.30567665480086503
fold_2,ridge,149,15,6,"ANDINH,ANLACTAY,CAIHOP,KHANHTHANHTAN,TANAN,TRANDE",15,0.36719914054448033,4.34016055701057,3.854011331812659,-0.4308667588263408
fold_2,idw,149,15,6,"ANDINH,ANLACTAY,CAIHOP,KHANHTHANHTAN,TANAN,TRANDE",15,0.3729785165746562,4.930216371967406,4.119870985856115,-0.9522479522408145
fold_2,ridge_residual_idw,149,15,6,"ANDINH,ANLACTAY,CAIHOP,KHANHTHANHTAN,TANAN,TRANDE",15,0.5813563537928617,3.8703999523392594,3.0924144900345,-0.7837420527393564
fold_3,ridge,144,10,5,"HOABINH,HUNGMY,LONGPHU,THANHPHU,TRAKHA",10,-0.7870816543590751,2.212730525895319,1.97503158641558,-1.7891692864246642
fold_3,idw,144,10,5,"HOABINH,HUNGMY,LONGPHU,THANHPHU,TRAKHA",10,-4.85423082294515,3.252922649437388,2.8196874360123423,-2.2815531155430313
fold_3,ridge_residual_idw,144,10,5,"HOABINH,HUNGMY,LONGPHU,THANHPHU,TRAKHA",10,-0.7022378173977972,1.9349986328160231,1.4580619614759844,-0.556153396667518
fold_4,ridge,144,10,5,"BENTRAI,CAUNOI,DAINGAI,GOQUAO,SOCTRANG",10,-0.4900811639056297,4.821416836059537,4.260796504821347,-2.019667860835415
fold_4,idw,144,10,5,"BENTRAI,CAUNOI,DAINGAI,GOQUAO,SOCTRANG",10,-2.8588320512440393,6.2587764158692805,5.122432718066358,-3.4668789888729634
fold_4,ridge_residual_idw,144,10,5,"BENTRAI,CAUNOI,DAINGAI,GOQUAO,SOCTRANG",10,-1.281583467468299,5.5731254301138655,4.678433692789609,-2.8048107764401795
fold_5,ridge,139,10,7,"ANNINH,BENLUC,CAUQUAN,HUONGMY,LOCTHUAN,XEORO,XUANKHANH",10,0.41298864172321925,1.2121063380193209,1.068997402022306,0.3208153144599399
fold_5,idw,139,10,7,"ANNINH,BENLUC,CAUQUAN,HUONGMY,LOCTHUAN,XEORO,XUANKHANH",10,0.7076214182461771,0.7324289381814932,0.6701863282718297,0.11595455218415962
fold_5,ridge_residual_idw,139,10,7,"ANNINH,BENLUC,CAUQUAN,HUONGMY,LOCTHUAN,XEORO,XUANKHANH",10,0.6658752104142449,0.9620674324298004,0.6908764793587786,-0.4846106376628837
