split,alpha,feature,coefficient
fold_1,3.888155180308089,transformed_0,-0.0036232370719528895
fold_1,3.888155180308089,transformed_1,0.06953803850953166
fold_1,3.888155180308089,transformed_2,0.05063594473384517
fold_1,3.888155180308089,transformed_3,-0.13847241392853615
fold_1,3.888155180308089,transformed_4,-0.3214445183301211
fold_1,3.888155180308089,transformed_5,0.041591935378808065
fold_1,3.888155180308089,transformed_6,-0.013450462505036124
fold_1,3.888155180308089,transformed_7,-0.01523022353045686
fold_1,3.888155180308089,transformed_8,0.011603672507689684
fold_1,3.888155180308089,transformed_9,0.07150904821800336
fold_1,3.888155180308089,transformed_10,0.04900942813718556
fold_1,3.888155180308089,transformed_11,0.13842335187984056
fold_1,3.888155180308089,transformed_12,-0.2386275451282609
fold_1,3.888155180308089,transformed_13,-0.01780948712800412
fold_1,3.888155180308089,transformed_14,-0.23874048123931582
fold_1,3.888155180308089,transformed_15,-0.17232797402501632
fold_1,3.888155180308089,transformed_16,0.09006136952310706
fold_1,3.888155180308089,transformed_17,0.1937840654238201
fold_1,3.888155180308089,transformed_18,0.17419214373866998
fold_1,3.888155180308089,transformed_19,-0.1041227042897046
fold_1,3.888155180308089,transformed_20,0.23125996027717155
fold_1,3.888155180308089,transformed_21,0.0855030084218822
fold_1,3.888155180308089,transformed_22,-0.08499446619327351
fold_1,3.888155180308089,transformed_23,-0.07651202837978865
fold_1,3.888155180308089,transformed_24,-0.07901134358152984
fold_1,3.888155180308089,transformed_25,-0.04138105603806497
fold_1,3.888155180308089,transformed_26,-0.06843299478528708
fold_1,3.888155180308089,transformed_27,0.04184923588933387
fold_1,3.888155180308089,transformed_28,0.016147333588266477
fold_1,3.888155180308089,transformed_29,0.03220374643640289
fold_1,3.888155180308089,transformed_30,0.01575884011958406
fold_1,3.888155180308089,transformed_31,0.0052035966976731185
fold_1,3.888155180308089,transformed_32,-0.005203596697650914
fold_1,3.888155180308089,transformed_33,-0.005203596697647583
fold_1,3.888155180308089,transformed_34,-0.005203596697663793
fold_1,3.888155180308089,transformed_35,-0.005203596697624491
fold_1,3.888155180308089,transformed_36,-0.005203596697684665
fold_1,3.888155180308089,transformed_37,-0.0052035966976631265
fold_1,3.888155180308089,transformed_38,-0.005203596697664015
fold_1,3.888155180308089,transformed_39,-0.005203596697667345
fold_1,3.888155180308089,transformed_40,-0.005203596697679114
fold_2,46.41588833612782,transformed_0,0.011014940771486292
fold_2,46.41588833612782,transformed_1,-0.10928362723339713
fold_2,46.41588833612782,transformed_2,-0.04928251663990442
fold_2,46.41588833612782,transformed_3,-0.08717029762278936
fold_2,46.41588833612782,transformed_4,-0.15927034515957894
fold_2,46.41588833612782,transformed_5,0.030816021759933334
fold_2,46.41588833612782,transformed_6,0.003616407549070319
fold_2,46.41588833612782,transformed_7,0.03840447793586277
fold_2,46.41588833612782,transformed_8,-0.005223282769422223
fold_2,46.41588833612782,transformed_9,0.03187075515957408
fold_2,46.41588833612782,transformed_10,-0.007273981892714193
fold_2,46.41588833612782,transformed_11,0.10043456628705363
fold_2,46.41588833612782,transformed_12,-0.08843224245887482
fold_2,46.41588833612782,transformed_13,-0.0796165940080685
fold_2,46.41588833612782,transformed_14,-0.037196494869678354
fold_2,46.41588833612782,transformed_15,-0.05429406850677437
fold_2,46.41588833612782,transformed_16,-0.014740647394418716
fold_2,46.41588833612782,transformed_17,0.07550484892767778
fold_2,46.41588833612782,transformed_18,0.0744250593491605
fold_2,46.41588833612782,transformed_19,0.024180310444058425
fold_2,46.41588833612782,transformed_20,-0.03631456715215661
