split,model,n_train,n_test,n_holdout_stations,holdout_stations,n,r2_log,rmse_gl,mae_gl,bias_gl
fold_1,ridge,475,63,4,"GOQUAO,LANGTHE,TRAVINH,TUYENNHON",63,0.004457286303518382,2.250012058000561,1.841610768414448,1.2756315498561173
fold_1,idw,475,63,4,"GOQUAO,LANGTHE,TRAVINH,TUYENNHON",63,-0.25018321980776803,1.741607868815756,1.2844254152038932,1.2171678082387911
fold_1,ridge_residual_idw,475,63,4,"GOQUAO,LANGTHE,TRAVINH,TUYENNHON",63,0.5098306183833033,1.1976635123676973,0.9738603996053918,0.9283021439560851
fold_2,ridge,475,63,4,"ANNINH,CAIHOP,TANAN,TRANDE",63,0.48315037808558925,4.265575805515955,3.4005597616125773,-0.7868693249543556
fold_2,idw,475,63,4,"ANNINH,CAIHOP,TANAN,TRANDE",63,0.38050109749587846,4.993710999437261,4.115980055113555,-0.9091688632654228
fold_2,ridge_residual_idw,475,63,4,"ANNINH,CAIHOP,TANAN,TRANDE",63,0.6092609548569403,3.638570520365415,2.7563048444903244,-0.723527208248714
fold_3,ridge,451,42,7,"ANDINH,GIONGTROM,HUNGMY,MYHOA,THANHPHU,THOIBINH,TRAKHA",42,-3.0108888834334584,3.82304838439609,2.936533532423055,-2.3459625656989838
fold_3,idw,451,42,7,"ANDINH,GIONGTROM,HUNGMY,MYHOA,THANHPHU,THOIBINH,TRAKHA",42,-3.3691730209949986,3.3138981331971347,2.9068049656491945,-2.323303294141343
fold_3,ridge_residual_idw,451,42,7,"ANDINH,GIONGTROM,HUNGMY,MYHOA,THANHPHU,THOIBINH,TRAKHA",42,-0.0814045884714234,2.0968361878729858,1.6538808311231226,-1.2308992530345175
fold_4,ridge,451,42,6,"ANLACTAY,CAUNOI,DAINGAI,LONGPHU,SOCTRANG,XEORO",42,-1.3782005001310553,5.953248045350653,5.246072557350924,-2.251499934484897
fold_4,idw,451,42,6,"ANLACTAY,CAUNOI,DAINGAI,LONGPHU,SOCTRANG,XEORO",42,-2.3474603164394168,6.4053347759708,5.237810252289784,-3.5074876136288484
fold_4,ridge_residual_idw,451,42,6,"ANLACTAY,CAUNOI,DAINGAI,LONGPHU,SOCTRANG,XEORO",42,-2.3058542847254313,6.326280306161442,5.368322733540603,-3.0176499062809605
fold_5,ridge,432,42,9,"ANTHUAN,BENLUC,BENTRAI,CAUQUAN,HOABINH,HUONGMY,KHANHTHANHTAN,LOCTHUAN,XUANKHANH",42,0.16791671363811256,2.0030718220363593,1.3402217504040204,-0.3551829009672663
fold_5,idw,432,42,9,"ANTHUAN,BENLUC,BENTRAI,CAUQUAN,HOABINH,HUONGMY,KHANHTHANHTAN,LOCTHUAN,XUANKHANH",42,0.6642451994993313,0.9798023666273569,0.76346994681333,0.0893508613873005
fold_5,ridge_residual_idw,432,42,9,"ANTHUAN,BENLUC,BENTRAI,CAUQUAN,HOABINH,HUONGMY,KHANHTHANHTAN,LOCTHUAN,XUANKHANH",42,0.1565136881824194,1.452905226836037,1.0138151309195247,-0.9134605312413532
