split,model,n_train,n_test,n_holdout_stations,holdout_stations,n,r2_log,rmse_gl,mae_gl,bias_gl
fold_1,ridge,475,63,4,"GOQUAO,LANGTHE,TRAVINH,TUYENNHON",63,0.004457286303518382,2.250012058000561,1.841610768414448,1.2756315498561173
fold_1,idw,475,63,4,"GOQUAO,LANGTHE,TRAVINH,TUYENNHON",63,-3.128393685230211,5.346200052141048,5.03889151842549,5.023784191695557
fold_1,ridge_residual_idw,475,63,4,"GOQUAO,LANGTHE,TRAVINH,TUYENNHON",63,-1.0475459711116328,2.6439321984228084,2.1602325531306508,-0.3191984712224726
fold_2,ridge,475,63,4,"ANNINH,CAIHOP,TANAN,TRANDE",63,0.48315037808558925,4.265575805515955,3.4005597616125773,-0.7868693249543556
fold_2,idw,475,63,4,"ANNINH,CAIHOP,TANAN,TRANDE",63,-0.3130761962567681,5.498749600547593,5.108553214860319,1.8890268076646088
fold_2,ridge_residual_idw,475,63,4,"ANNINH,CAIHOP,TANAN,TRANDE",63,0.20193003647043728,4.780608853947062,3.90075404514762,-0.954641912643523
fold_3,ridge,451,42,7,"ANDINH,GIONGTROM,HUNGMY,MYHOA,THANHPHU,THOIBINH,TRAKHA",42,-3.0108888834334584,3.82304838439609,2.936533532423055,-2.3459625656989838
fold_3,idw,451,42,7,"ANDINH,GIONGTROM,HUNGMY,MYHOA,THANHPHU,THOIBINH,TRAKHA",42,-5.059799906368368,6.951258559978163,6.017843069457014,5.869138097314729
fold_3,ridge_residual_idw,451,42,7,"ANDINH,GIONGTROM,HUNGMY,MYHOA,THANHPHU,THOIBINH,TRAKHA",42,-1.3477369638376162,3.2319905025515046,2.3527263348037124,-1.6293479591968332
fold_4,ridge,451,42,6,"ANLACTAY,CAUNOI,DAINGAI,LONGPHU,SOCTRANG,XEORO",42,-1.3782005001310553,5.953248045350653,5.246072557350924,-2.251499934484897
fold_4,idw,451,42,6,"ANLACTAY,CAUNOI,DAINGAI,LONGPHU,SOCTRANG,XEORO",42,0.11791091299415346,3.2110144051919445,2.8410092781641576,0.2985988335511318
fold_4,ridge_residual_idw,451,42,6,"ANLACTAY,CAUNOI,DAINGAI,LONGPHU,SOCTRANG,XEORO",42,-0.07365025894914501,4.494378537609469,3.916596751400837,-1.8002181517538325
fold_5,ridge,432,42,9,"ANTHUAN,BENLUC,BENTRAI,CAUQUAN,HOABINH,HUONGMY,KHANHTHANHTAN,LOCTHUAN,XUANKHANH",42,0.16791671363811256,2.0030718220363593,1.3402217504040204,-0.3551829009672663
fold_5,idw,432,42,9,"ANTHUAN,BENLUC,BENTRAI,CAUQUAN,HOABINH,HUONGMY,KHANHTHANHTAN,LOCTHUAN,XUANKHANH",42,-1.815146918354562,3.344048651090569,3.0291681692800263,2.530929402003347
fold_5,ridge_residual_idw,432,42,9,"ANTHUAN,BENLUC,BENTRAI,CAUQUAN,HOABINH,HUONGMY,KHANHTHANHTAN,LOCTHUAN,XUANKHANH",42,-3.771408906954176,3.3158806104542062,2.7353170399564837,-0.9654073516329598
