feature,importance
rainy_day_sum,0.15494193
Distance_to_Coast_first,0.12204585
wind_speed_10m_ms_mean,0.11595919
lat_first,0.09392135
wind_speed_10m_ms_max,0.058436733
solar_radiation_mj_m2_sum,0.054162808
runoff_mm_sum,0.054014824
lon_first,0.046844013
DEM_first,0.036554925
Distance_to_River_first,0.03032648
MNDWI_median_week,0.028133595
Red_SWIR1_median_week,0.02087467
temperature_2m_c_mean,0.016266733
potential_evaporation_mm_sum,0.016164726
NDWI_median_week,0.015227713
B11_median_week,0.014080383
BGRratio_median_week,0.012946253
runoff_mm_max,0.012039462
B12_median_week,0.011591896
Red_SWIR2_median_week,0.010779201
NDVI_median_week,0.010163754
soil_moisture_layer1_vol_mean,0.010053347
precipitation_mm_sum,0.009634842
doy_cos,0.009158363
month_sin,0.008347714
surface_pressure_hpa_min,0.0071747624
NDCI_median_week,0.0067151575
week_sin,0.0065044696
doy_sin,0.0042985477
week_cos,0.0024770075
month_cos,0.00015928448
s2_available,0.0
