feature,importance,split
lon_first,0.056742094,fold_1
lat_first,0.02738594,fold_1
DEM_first,0.023379488,fold_1
Distance_to_River_first,0.023804687,fold_1
Distance_to_Coast_first,0.18880765,fold_1
doy_sin,0.0053674136,fold_1
doy_cos,0.014264888,fold_1
week_sin,0.010576078,fold_1
week_cos,0.0019916084,fold_1
month_sin,0.02040379,fold_1
month_cos,0.0,fold_1
temperature_2m_c_mean,0.024764434,fold_1
precipitation_mm_sum,0.0084294425,fold_1
rainy_day_sum,0.104535356,fold_1
potential_evaporation_mm_sum,0.017626103,fold_1
runoff_mm_sum,0.07301039,fold_1
runoff_mm_max,0.021638352,fold_1
wind_speed_10m_ms_mean,0.14087442,fold_1
wind_speed_10m_ms_max,0.08443283,fold_1
surface_pressure_hpa_min,0.005742241,fold_1
soil_moisture_layer1_vol_mean,0.016003223,fold_1
solar_radiation_mj_m2_sum,0.036106687,fold_1
MNDWI_median_week,0.011797022,fold_1
NDWI_median_week,0.0220397,fold_1
NDVI_median_week,0.009032274,fold_1
B11_median_week,0.0064822827,fold_1
B12_median_week,0.0052897637,fold_1
Red_SWIR1_median_week,0.011794256,fold_1
Red_SWIR2_median_week,0.00572674,fold_1
BGRratio_median_week,0.013340433,fold_1
NDCI_median_week,0.008610328,fold_1
s2_available,0.0,fold_1
lon_first,0.054895632,fold_2
lat_first,0.2033185,fold_2
DEM_first,0.021276806,fold_2
Distance_to_River_first,0.058369122,fold_2
Distance_to_Coast_first,0.094885394,fold_2
doy_sin,0.0036998533,fold_2
doy_cos,0.011968404,fold_2
week_sin,0.0069782706,fold_2
week_cos,0.00092259835,fold_2
month_sin,0.016274562,fold_2
month_cos,0.0,fold_2
temperature_2m_c_mean,0.010484516,fold_2
precipitation_mm_sum,0.014891479,fold_2
rainy_day_sum,0.15461974,fold_2
potential_evaporation_mm_sum,0.011006367,fold_2
runoff_mm_sum,0.092591025,fold_2
runoff_mm_max,0.011418175,fold_2
wind_speed_10m_ms_mean,0.046444293,fold_2
wind_speed_10m_ms_max,0.037230115,fold_2
surface_pressure_hpa_min,0.0061933342,fold_2
soil_moisture_layer1_vol_mean,0.009018527,fold_2
solar_radiation_mj_m2_sum,0.02611565,fold_2
MNDWI_median_week,0.024151728,fold_2
NDWI_median_week,0.01589051,fold_2
NDVI_median_week,0.010836649,fold_2
B11_median_week,0.008482858,fold_2
B12_median_week,0.008112184,fold_2
Red_SWIR1_median_week,0.013608173,fold_2
Red_SWIR2_median_week,0.015477253,fold_2
BGRratio_median_week,0.0065471483,fold_2
NDCI_median_week,0.0042911503,fold_2
s2_available,0.0,fold_2
lon_first,0.054709986,fold_3
lat_first,0.087327786,fold_3
DEM_first,0.037327666,fold_3
Distance_to_River_first,0.01949789,fold_3
Distance_to_Coast_first,0.1360247,fold_3
doy_sin,0.003522222,fold_3
doy_cos,0.0053326744,fold_3
week_sin,0.0071064006,fold_3
week_cos,0.002327368,fold_3
month_sin,0.0009992317,fold_3
month_cos,0.0,fold_3
temperature_2m_c_mean,0.0185949,fold_3
precipitation_mm_sum,0.0077497563,fold_3
rainy_day_sum,0.22129317,fold_3
potential_evaporation_mm_sum,0.009533643,fold_3
runoff_mm_sum,0.029808354,fold_3
runoff_mm_max,0.006820278,fold_3
wind_speed_10m_ms_mean,0.112805374,fold_3
wind_speed_10m_ms_max,0.01693829,fold_3
surface_pressure_hpa_min,0.0072725094,fold_3
soil_moisture_layer1_vol_mean,0.0067939074,fold_3
solar_radiation_mj_m2_sum,0.06700106,fold_3
MNDWI_median_week,0.035722256,fold_3
NDWI_median_week,0.01451507,fold_3
NDVI_median_week,0.005229875,fold_3
B11_median_week,0.011539306,fold_3
B12_median_week,0.010438589,fold_3
Red_SWIR1_median_week,0.023980048,fold_3
Red_SWIR2_median_week,0.017145274,fold_3
BGRratio_median_week,0.014068726,fold_3
NDCI_median_week,0.008573678,fold_3
s2_available,0.0,fold_3
lon_first,0.02376882,fold_4
lat_first,0.068481185,fold_4
DEM_first,0.02489009,fold_4
Distance_to_River_first,0.028293665,fold_4
Distance_to_Coast_first,0.037790455,fold_4
doy_sin,0.0035356558,fold_4
doy_cos,0.0057363994,fold_4
week_sin,0.001304341,fold_4
week_cos,0.002993813,fold_4
month_sin,0.0017754388,fold_4
month_cos,0.0,fold_4
temperature_2m_c_mean,0.014983873,fold_4
precipitation_mm_sum,0.008897047,fold_4
rainy_day_sum,0.14228442,fold_4
potential_evaporation_mm_sum,0.024294285,fold_4
runoff_mm_sum,0.03332952,fold_4
runoff_mm_max,0.008021913,fold_4
wind_speed_10m_ms_mean,0.18971817,fold_4
wind_speed_10m_ms_max,0.09772786,fold_4
surface_pressure_hpa_min,0.009148975,fold_4
soil_moisture_layer1_vol_mean,0.00966369,fold_4
solar_radiation_mj_m2_sum,0.10056084,fold_4
MNDWI_median_week,0.02748973,fold_4
NDWI_median_week,0.014353415,fold_4
NDVI_median_week,0.011043352,fold_4
B11_median_week,0.023296932,fold_4
B12_median_week,0.030318351,fold_4
Red_SWIR1_median_week,0.028385673,fold_4
Red_SWIR2_median_week,0.010485191,fold_4
BGRratio_median_week,0.012686272,fold_4
NDCI_median_week,0.0047406624,fold_4
s2_available,0.0,fold_4
lon_first,0.044103518,fold_5
lat_first,0.08309334,fold_5
DEM_first,0.075900584,fold_5
Distance_to_River_first,0.021667032,fold_5
Distance_to_Coast_first,0.15272102,fold_5
doy_sin,0.0053675943,fold_5
doy_cos,0.008489444,fold_5
week_sin,0.006557257,fold_5
week_cos,0.0041496498,fold_5
month_sin,0.0022855473,fold_5
month_cos,0.00079642236,fold_5
temperature_2m_c_mean,0.012505942,fold_5
precipitation_mm_sum,0.008206486,fold_5
rainy_day_sum,0.15197694,fold_5
potential_evaporation_mm_sum,0.018363228,fold_5
runoff_mm_sum,0.041334826,fold_5
runoff_mm_max,0.012298594,fold_5
wind_speed_10m_ms_mean,0.089953735,fold_5
wind_speed_10m_ms_max,0.05585458,fold_5
surface_pressure_hpa_min,0.007516751,fold_5
soil_moisture_layer1_vol_mean,0.00878739,fold_5
solar_radiation_mj_m2_sum,0.041029785,fold_5
MNDWI_median_week,0.041507233,fold_5
