feature,importance
rainy_day_sum,0.14842099
Distance_to_Coast_first,0.10658495
lat_first,0.07343708
wind_speed_10m_ms_mean,0.07325001
wind_speed_10m_ms_max,0.06989517
runoff_mm_sum,0.062223397
lon_first,0.04877363
DEM_first,0.040516116
solar_radiation_mj_m2_sum,0.03679337
Distance_to_River_first,0.03505741
Red_SWIR1_median_week,0.022984808
temperature_2m_c_mean,0.022946637
MNDWI_median_week,0.022920292
runoff_mm_max,0.022703128
B12_median_week,0.022437686
Red_SWIR2_median_week,0.02054643
BGRratio_median_week,0.018853694
week_sin,0.018611435
B11_median_week,0.017712753
soil_moisture_layer1_vol_mean,0.016394492
potential_evaporation_mm_sum,0.014410655
precipitation_mm_sum,0.01419141
NDWI_median_week,0.013269657
doy_cos,0.01108091
NDCI_median_week,0.008815532
NDVI_median_week,0.008489403
month_sin,0.008172597
week_cos,0.0071224137
surface_pressure_hpa_min,0.0068534715
doy_sin,0.005903191
month_cos,0.0006272653
s2_available,0.0
