feature,importance,split
lon_first,0.055600397,fold_1
lat_first,0.021510895,fold_1
DEM_first,0.028746326,fold_1
Distance_to_River_first,0.031468235,fold_1
Distance_to_Coast_first,0.18848933,fold_1
doy_sin,0.010138406,fold_1
doy_cos,0.01075848,fold_1
week_sin,0.060825087,fold_1
week_cos,0.013473212,fold_1
month_sin,0.007886289,fold_1
month_cos,0.0019410811,fold_1
temperature_2m_c_mean,0.026714439,fold_1
precipitation_mm_sum,0.013659672,fold_1
rainy_day_sum,0.087644815,fold_1
potential_evaporation_mm_sum,0.016525337,fold_1
runoff_mm_sum,0.08367508,fold_1
runoff_mm_max,0.042085625,fold_1
wind_speed_10m_ms_mean,0.057635467,fold_1
wind_speed_10m_ms_max,0.08004473,fold_1
surface_pressure_hpa_min,0.009607562,fold_1
soil_moisture_layer1_vol_mean,0.023522276,fold_1
solar_radiation_mj_m2_sum,0.015006148,fold_1
MNDWI_median_week,0.01062155,fold_1
NDWI_median_week,0.011990194,fold_1
NDVI_median_week,0.011466212,fold_1
B11_median_week,0.013696638,fold_1
B12_median_week,0.009326774,fold_1
Red_SWIR1_median_week,0.009732489,fold_1
Red_SWIR2_median_week,0.016657408,fold_1
BGRratio_median_week,0.019983755,fold_1
NDCI_median_week,0.009566038,fold_1
s2_available,0.0,fold_1
lon_first,0.04093306,fold_2
lat_first,0.15079673,fold_2
DEM_first,0.019168226,fold_2
Distance_to_River_first,0.047599036,fold_2
Distance_to_Coast_first,0.09983949,fold_2
doy_sin,0.004813477,fold_2
doy_cos,0.01387031,fold_2
week_sin,0.0021066372,fold_2
week_cos,0.016370015,fold_2
month_sin,0.021141967,fold_2
month_cos,0.0,fold_2
temperature_2m_c_mean,0.0183279,fold_2
precipitation_mm_sum,0.018041177,fold_2
rainy_day_sum,0.0895767,fold_2
potential_evaporation_mm_sum,0.007875548,fold_2
runoff_mm_sum,0.13612148,fold_2
runoff_mm_max,0.028486667,fold_2
wind_speed_10m_ms_mean,0.03884865,fold_2
wind_speed_10m_ms_max,0.048815284,fold_2
surface_pressure_hpa_min,0.009448256,fold_2
soil_moisture_layer1_vol_mean,0.017538603,fold_2
solar_radiation_mj_m2_sum,0.0362056,fold_2
MNDWI_median_week,0.023488542,fold_2
NDWI_median_week,0.010161002,fold_2
NDVI_median_week,0.0044410443,fold_2
B11_median_week,0.0075617367,fold_2
B12_median_week,0.014855959,fold_2
Red_SWIR1_median_week,0.023371594,fold_2
Red_SWIR2_median_week,0.0350697,fold_2
BGRratio_median_week,0.011292587,fold_2
NDCI_median_week,0.0038330078,fold_2
s2_available,0.0,fold_2
lon_first,0.07789976,fold_3
lat_first,0.09584069,fold_3
DEM_first,0.059942566,fold_3
Distance_to_River_first,0.02190005,fold_3
Distance_to_Coast_first,0.088731356,fold_3
doy_sin,0.003935871,fold_3
doy_cos,0.005950578,fold_3
week_sin,0.02294724,fold_3
week_cos,0.0020480938,fold_3
