feature,importance
rainy_day_sum,0.20041853
lat_first,0.09522226
Distance_to_Coast_first,0.083175376
wind_speed_10m_ms_mean,0.07180508
wind_speed_10m_ms_max,0.06569535
runoff_mm_sum,0.060414907
DEM_first,0.05128923
lon_first,0.050198134
Red_SWIR1_median_week,0.029952863
MNDWI_median_week,0.028855098
solar_radiation_mj_m2_sum,0.028243538
Distance_to_River_first,0.026895963
Red_SWIR2_median_week,0.026052907
doy_cos,0.022760805
B11_median_week,0.01996052
temperature_2m_c_mean,0.01962709
runoff_mm_max,0.019317409
BGRratio_median_week,0.01855249
NDWI_median_week,0.014345636
potential_evaporation_mm_sum,0.013745019
precipitation_mm_sum,0.01022072
NDVI_median_week,0.009998559
soil_moisture_layer1_vol_mean,0.00860415
NDCI_median_week,0.007408061
month_sin,0.0044967774
surface_pressure_hpa_min,0.0032732442
B12_median_week,0.0029586402
doy_sin,0.0029108408
week_sin,0.0028340886
week_cos,0.00076675165
s2_available,0.0
month_cos,0.0
