feature,importance,split
lon_first,0.050198134,temporal
lat_first,0.09522226,temporal
DEM_first,0.05128923,temporal
Distance_to_River_first,0.026895963,temporal
Distance_to_Coast_first,0.083175376,temporal
doy_sin,0.0029108408,temporal
doy_cos,0.022760805,temporal
week_sin,0.0028340886,temporal
week_cos,0.00076675165,temporal
month_sin,0.0044967774,temporal
month_cos,0.0,temporal
temperature_2m_c_mean,0.01962709,temporal
precipitation_mm_sum,0.01022072,temporal
rainy_day_sum,0.20041853,temporal
potential_evaporation_mm_sum,0.013745019,temporal
runoff_mm_sum,0.060414907,temporal
runoff_mm_max,0.019317409,temporal
wind_speed_10m_ms_mean,0.07180508,temporal
wind_speed_10m_ms_max,0.06569535,temporal
surface_pressure_hpa_min,0.0032732442,temporal
soil_moisture_layer1_vol_mean,0.00860415,temporal
solar_radiation_mj_m2_sum,0.028243538,temporal
MNDWI_median_week,0.028855098,temporal
NDWI_median_week,0.014345636,temporal
NDVI_median_week,0.009998559,temporal
B11_median_week,0.01996052,temporal
B12_median_week,0.0029586402,temporal
Red_SWIR1_median_week,0.029952863,temporal
Red_SWIR2_median_week,0.026052907,temporal
BGRratio_median_week,0.01855249,temporal
NDCI_median_week,0.007408061,temporal
s2_available,0.0,temporal
