trial,feature_set,horizon,lookback,hidden_size,num_layers,dropout,loss,seed,best_epoch,n_features,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2,elapsed_seconds
c05_sal_h128_s07,salinity,1,30,128,1,0.15,huber,7,14,9,1.2597250938415527,0.8163864016532898,0.9585149218004567,1.4195232391357422,0.9090395569801331,0.9512667056880972,19.788797855377197
d02_sal_mse_s07,salinity,1,30,128,1,0.15,mse,7,14,9,1.2624444961547852,0.8242865800857544,0.9583356169990692,1.4232559204101562,0.907274603843689,0.9510100720108522,22.41788601875305
c05_sal_h128_s123,salinity,1,30,128,1,0.15,huber,123,22,9,1.2781848907470703,0.7930206656455994,0.9572901876790584,1.3703436851501465,0.847373366355896,0.954584953379982,26.931886911392212
c05_sal_h128,salinity,1,30,128,1,0.15,huber,42,21,9,1.284930944442749,0.8433448672294617,0.9568381668068818,1.3904573917388916,0.8960192203521729,0.953241974043018,25.666592836380005
c01_sal_l7,salinity,1,7,64,1,0.1,huber,42,20,9,1.3000109195709229,0.8528550267219543,0.9558191220395865,1.4690386056900024,0.9336562156677246,0.9478076063999777,4.818825006484985
a01_salinity_l30,salinity,1,30,64,1,0.1,huber,42,35,9,1.3219305276870728,0.8450651168823242,0.954316685790193,1.4227964878082275,0.8856773972511292,0.9510416930601111,21.64486026763916
c02_sal_l14,salinity,1,14,64,1,0.1,huber,42,16,9,1.328575849533081,0.9047116041183472,0.9538562340364035,1.4797207117080688,0.9743789434432983,0.9470458107098945,6.471199035644531
d01_sal_mse_s42,salinity,1,30,128,1,0.15,mse,42,16,9,1.338053584098816,0.8884156346321106,0.9531955331420904,1.3918635845184326,0.8907725214958191,0.9531473535446499,29.441675901412964
c04_sal_h32,salinity,1,30,32,1,0.1,huber,42,18,9,1.3558452129364014,0.8965668082237244,0.9519425736852289,1.4241225719451904,0.9081260561943054,0.9509503972843427,9.450221061706543
c03_sal_l60,salinity,1,60,64,1,0.1,huber,42,28,9,1.3666000366210938,0.9283618330955505,0.951177146263785,1.431993007659912,0.9314306378364563,0.9504067519266874,31.807096004486084
c06_sal_2layer,salinity,1,30,64,2,0.2,huber,42,19,9,1.395339012145996,0.9253048896789551,0.9491021057936206,1.4938055276870728,0.9713234305381775,0.9460329239659014,26.522814989089966
a02_weather_l30,weather,1,30,64,1,0.1,huber,42,6,23,1.8118075132369995,1.287774682044983,0.9141847568423586,1.6596285104751587,1.1692698001861572,0.9333864539716038,7.868964672088623
b01_multi_l14,multisource_compact,1,14,64,1,0.1,huber,42,5,49,1.910506248474121,1.3990694284439087,0.9045804704410682,1.9955006837844849,1.4812551736831665,0.9036959574642568,4.191910982131958
b02_multi_l60,multisource_compact,1,60,64,1,0.1,huber,42,15,49,1.96707284450531,1.4568092823028564,0.8988464273508661,1.9399675130844116,1.4503931999206543,0.9089814916226185,23.409635066986084
a03_multi_compact_l30,multisource_compact,1,30,64,1,0.1,huber,42,5,49,1.9761158227920532,1.4385550022125244,0.8979142472371638,1.9380502700805664,1.4517613649368286,0.9091613076054804,7.863983154296875
b03_multi_h128,multisource_compact,1,30,128,1,0.15,huber,42,2,49,2.0102720260620117,1.4688820838928223,0.8943547435145117,2.0577239990234375,1.5508428812026978,0.8975964409649144,10.546241044998169
b04_multi_2layer,multisource_compact,1,30,96,2,0.2,huber,42,4,49,2.279569387435913,1.6667863130569458,0.8641542916463134,2.1376616954803467,1.628163456916809,0.889485624801964,19.460119247436523
a04_multi_full_l30,multisource,1,30,64,1,0.1,huber,42,11,97,2.4350621700286865,1.8416043519973755,0.8449897526861514,2.3014066219329834,1.7414724826812744,0.8719063903194704,11.508471012115479
h03_sal,salinity,3,30,128,1,0.15,huber,42,4,9,2.287583112716675,1.6608161926269531,0.8631974904594308,2.3079655170440674,1.6679424047470093,0.871175215281961,11.251039981842041
h03_weather,weather,3,30,64,1,0.1,huber,42,2,23,2.7053823471069336,1.9555201530456543,0.8086635720129285,2.6115593910217285,1.9709287881851196,0.8350544583602035,5.568796873092651
h07_weather,weather,7,30,64,1,0.1,huber,42,4,23,2.7111873626708984,2.0141360759735107,0.8078416069544444,2.8838632106781006,2.162257194519043,0.7988638524648004,6.326020956039429
h07_sal,salinity,7,30,128,1,0.15,huber,42,2,9,2.7606613636016846,2.071504592895508,0.8007645751535262,2.5442888736724854,1.8433752059936523,0.8434426015122525,9.380905866622925
