feature,importance
rainy_day_sum,0.15258048
Distance_to_Coast_first,0.15019983
wind_speed_10m_ms_mean,0.10094789
lat_first,0.07579003
wind_speed_10m_ms_max,0.0659327
lon_first,0.061078034
runoff_mm_sum,0.046884913
DEM_first,0.04053954
solar_radiation_mj_m2_sum,0.03975009
Distance_to_River_first,0.03459826
soil_moisture_layer1_vol_mean,0.033021122
runoff_mm_max,0.028218474
doy_sin,0.021344215
temperature_2m_c_mean,0.016983382
doy_cos,0.013789972
surface_pressure_hpa_min,0.013489072
NDVI_median_week,0.011120451
potential_evaporation_mm_sum,0.011060845
precipitation_mm_sum,0.010245355
week_sin,0.009510996
